,Job Title,Job Description,Salary,Position,Location,Updated Time,Expiry Date,Job Reference
10,Data Scientist,"Are you a Senior Data Scientist with experience within the Mining environment and seeking international exposure?  Our client has an amazing remote opportunity for a 6-month contract renewable.  Work Location: Australia - Remote WorkDuration: 6 Months renewalKey tasks:  Perform requirements analysis of assigned projects to ensure correct mapping of requirements to solution designPerform data science solution development including:Performing exploratory data analysis,Performing statistical data modeling,Building descriptive/predictive/prescriptive models,Performing experimentation with testing & validation,Performing model optimizationDeliver high quality solutions to meet project requirements using state-of-the-art DA/DS/ML/AI techniquesImplement solution using agile sprintsCollaborate with business and technical stakeholders to deliver projectsImplement appropriate visualization artefacts to demonstrate solution performance for project stakeholdersCommunicate project outcomes with project stakeholders through presentations & reportsSkills & Experience:  Knowledge about mining value chain is required. Must be familiar with mining, geo science and mineral systems.Good understanding of ore processing in the context of mining and associated data analysis challenges is requiredPrior hands-on experience in any of the following areas is needed:Sensor data analysisSpectral data analysis (hyper spectral image analysis etc.)Signal data processing (Infrared, imagery etc.)Hands on experience in ML/AI/analytics implementationIndustry Analytics/ML/AI project delivery experience using Agile methodsExperience in building production DS solutions including API deployment using CloudWorking directly with business stakeholders, data engineers, solutions architects, and product managers in creating robust solutions.Current knowledge about ML algorithms, libraries, and frameworks (should be demonstrable via coding test in Python etc. languages)Effective verbal and written communicationShould this spark interest,  Hurry now and Apply
Desired Skills: 

Predictive modelling
Data Science

",Undisclosed,Contract Senior position,"Johannesburg, Gauteng",Posted 26 Jan 2022,Expires in 20 days,Job 2445179 - Ref zensar contract
11,Data Scientist,"Whilst the company is Cape Town based, this role can be fully remote on a permanent basis.  We are looking for candidates who have a real passion for technology, who are constantly exploring, learning and improving their skills. We're a hyper growth company looking for smart, innovative, autonomous, and creative people to join us!  We think big, and follow through!  This position reports to Engineering Team Lead (Machine Learning)  The high level  Identify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to discover trends and patternsBuild predictive models and machine-learning algorithmsCombine models through ensemble modelingPresent information using data visualization techniquesPropose solutions and strategies to business challengesCollaborate with engineering and product development teamsSelf-starter, can work independently and take responsibility for problem identificationYour qualifications & experience  Computer Science degree (alternatively a degree in a related field with work experience as a software engineer)Strong Mathematical or Statistical experienceUnderstanding of machine-learning and operations research2+ years experience applying advanced analytics to real-world problems, preferably in a commercial environmentExperience using business intelligence tools and data frameworksScenario testing techniquesExcellent communication and presentation skillsAreas of mastery  Modeling toolkit (Neural Networks, Clustering Methods, Classification, etc.)Strong in python analytics toolkit (Graphing, Data Profiling, Data Preprocessing, etc)Bonus points  MSc (or even PhD)Experience handling big data and/or knowledge with advanced analytical techniques.Event driven architecture (PubSub/Kafka)Docker, KubernetesDataform, LookerExperience with e-commerce or retail based applicationsThe skills we need  Be creativeBe flexibleBe data orientedTake pride in your workComfortable using open source technologies
Desired Skills: 

Data science
machine learning
python
data profiling

",Undisclosed,Permanent Senior position,Work From Home,Posted 24 Jan 2022,Expires in 27 days,Job 2446339
12,Data Scientist  Semi Remote  up to R1m per annum at e-Merge IT RECRUITMENT,"One of the largest management consultancy firms that offers global experience and local knowledge helping client focus on the bigger picture is currently on the search for a driven and dedicated Data Scientist to join their incredible firm.  The incumbent will be responsible for algorithm and model development and deployment of models in business according to project delivery requirements  Great opportunity apply now!!!  Requirements:  Bachelors Degree in Data Science, Engineering or related5-6 years commercial experiencePythonSQLAzureAWSGCPSnowflakeAgileMachine LearningResponsibilities:  Proactively identifies client needs and problems on technical issues that arise and propose resolutions to address theseManages risk in area of engagement in alignment with Deloitte policiesConsistently reviews and analyses accuracy and quality of own deliverablesMaintains clear communication channels with engagement team members on work statusSupports the Engagement Manager in delivery of engagement / project, in specific area of competencyRaises issues with manager as identified in area of focus that may affect the quality of delivery or timelines of the engagementIdentifies opportunities for follow-on work and works with management to win the businessReference Number for this position is NN54296 which is a permanent position that is Semi-Remote offering a cost to company salary of up to R1m per annum negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.
Desired Skills: 

Azure
AWS
GCP
SQL

Desired Qualification Level: 

Degree

","R83,300 per month",Permanent Senior position,"Johannesburg, Gauteng",Posted 23 Jan 2022,Expires in 17 days,Job 2444946 - Ref NN54296
13,Data Scientist at Letsema Consulting,"Data Science Consultant  We are looking for a Data Science Consultant who will support our clients with insights gained from analysing company and market data. The ideal candidate is adept at using large data sets to find opportunities for optimization and using models to test the effectiveness of different courses of action. They must have good knowledge of using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms, and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.  Responsibilities:  Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyse data from market and company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Knowledge and experience in conducting market research, from various mediums and synthesising data into relevant insights for decision making.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyse model performance and data accuracy.Qualifications and Experience  Strong problem-solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, etc.) to manipulate data and draw insights from large data sets.Experience working with data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.We're looking for someone with 2 - 3 years' experience manipulating data sets and building statistical modelsPostgraduate degree in Statistics, Mathematics, Computer Science, or another quantitative field.
Desired Skills: 

Python
R
statistical analysis
java
javascript
datasets
data architect
customer strategy
algoritms
data models

About The Employer: 
At Letsema, we believe in business being a catalyst for social change. Achieving this ambition is only possible through the combined talents and skills of the Letsema family. We take pride in working with individuals from a variety of backgrounds who have the drive and intellect to bring about positive social change through the enablement Letsema offers to new and returning clients and partners.
","R22,500 - R37,500 per month",Permanent Junior position,"Rosebank, Gauteng",Posted 23 Jan 2022,Expires in 17 days,Job 2444830
14,Data Scientist,"Modus has been on the leading edge of collaborating great talent in IT with forward thinking organisations for the passed 14 years. The essence of our work is centric to creating impactful relationships with our candidates, which has been the eco system of our business.   Our valued client, who is a giant in the insurance is looking for a highly skilled data scientist to join their dynamic team. Please see the below requirements for the role:   Technical skills:  Expert in programming languages such as R, Python, ScalaExperience in interactive data exploration and data-driven story tellingUnderstanding and application of Big Data and distributed computing principles (Hadoop and MapReduce)Strong analytical and statistical knowledge with an understanding of the latest machine learning algorithms for both structured and unstructured dataStrong ability to communicate findings and recommendations from data (visual, verbal and written)Production environment machine learning and AIDevOps/DataOps and CI/CD experienceProficient understanding data manipulation skills including SQL to extract, transform and load dataQualifications:  Honours or Master's degree in either Data Science, Statistics, or Applied Mathematics with some experience in software engineering, computer science or working with big disparate sets of data, ORHonours or Master's degree in Computer Science or Software Engineering with solid experience in statistical modelling, data mining and machine learningOther analytical qualifications will also be considered if accompanied by the relevant experience5 to 15 years of experience is preferred
Desired Skills: 

Data Science
R
Python
Scala
Big Data
Hadoop
MapReduce
Statistics
DevOps
DataOps

",Undisclosed,Permanent Senior EE position,"Johannesburg, Gauteng",Posted 18 Jan 2022,Expires in 21 days,Job 2441994
15,ETL DEVELOPER/DATA INTEGRATOR/DATA SCIENTIST - LEAD,"Job Description  Liaise with the Practice Principal re progress on allocated deliverablesCost EstimatesDraw up job cards for the deliverablesActioning Code DevelopmentAttend daily project meetingsManage Junior DeveloperCandidates from Big Data, collections, Fraud and Consulting industries will be given preferencePLEASE SEND SKILLS MATRIX WITH APPLICATION  Qualifications  B.Sc. Computer Science/B.Comm. Informatics/B.EngSkills  3 + years experience in: SSIS, Ab Initio, Pentaho Data Integration (Kettle),DataStage, Informatica, PowerCentre, Talend, IBM Info Sphere, Oracle Data Integrator, SAS Data Integration StudioMethodologies: Agile Scrum, Kanban, ETL (Extract, Transform, Load), Real Time Integration2 + Years Management experienceCandidates from Big Data, collections, Fraud and Consulting industries will be given preference
Desired Skills: 

SSIS
Ab Initio
Pentaho Data Integration
Kettle
DataStage
Informatica
PowerCentre
Talend
IBM Info Sphere
Oracle Data Integrator
SAS Data Integration Studio
Agile Scrum
Kanban
ETL
Fraud and Consulting

Desired Qualification Level: 

Degree

About The Employer: 
IT consulting company with the focus on BI & Data Management
","R50,000 - R58,300 per month",Permanent Senior position,"Johannesburg, Gauteng",Posted 29 Jan 2022,Expires in 14 days,Job 2444124 - Ref TJ 392498
16,Data Scientist at Edge Group of Companies,"We are looking for a Data Scientist with financial/banking background to join our client in the banking industry.   Urgently forward CVs to [Email Address Removed]
Desired Skills: 

Data
Data Scientist
Data Analysis

",Undisclosed,Permanent Intermediate position,"Johannesburg, Gauteng",Posted 10 Jan 2022,Expires in 13 days,Job 2439788
17,Senior Data Scientist at Datafin Recruitment,"ENVIRONMENT:A Retail Giant with a footprint on the African continent seeks the strong leadership of a highly meticulous Senior Data Scientist to provide oversight over Juniors and provide advanced expertise on statistical and mathematical concepts. You will also be expected to apply and inspire the adoption of advanced Data Science and Analytics across the business by formulating, suggesting and managing data-driven projects while suggesting ways in which insights obtained might be used to inform business strategies. The ideal candidate must possess an Advanced Degree (Masters/PhD) in Data Science, Statistics, Computer Science, or similar discipline, have 5+ years’ work experience in a similar role with a demonstratable history of devising & overseeing data-centred projects, be proficient in R, Python, SQL, Probability and Statistics, Predictive Modelling and Machine [URL Removed] in a cross-functional team, collaborating with fellow Data Scientists, Engineers, and Analysts to understand project goals, interpret end-users’ intent and drive the build, implementation and scale-up of algorithms for measurable impact.Understand and use ANN's, CNN's, RNN's, Autoencoders, fundamental Data Science concepts (Linear and Logistic Regression, SVM's, Dimensionality Reduction), Decision Trees, Gradient Boosting, Ensemble Models, etc. to develop Machine Learning models.Formulate, suggest, and manage data-driven projects which are geared at furthering the business's interests.Collate and clean data from various entities for later use by Junior Data Scientists.Delegate tasks to Junior Data Scientists in order to realize the successful completion of projects.Monitor the performance of Junior Data Scientists and providing them with practical guidance, as needed.Select and employ advanced statistical procedures to obtain actionable insights.Cross-validate models to ensure their generalizability.Produce and disseminate non-technical reports that detail the successes and limitations of each project.Suggest ways in which insights obtained might be used to inform business strategies.Stay informed about developments in Data Science and adjacent fields to ensure that outputs are always relevant.REQUIREMENTS:Qualifications –Advanced Degree (Masters/PhD) in Data Science, Statistics, Computer Science, or similar.Experience/Skills –5+ Years’ experience as a Data Scientist.Proficiency in R or Python, where the latter is preferred.In-depth understanding of SQL.Competent in Machine Learning principles and techniques.Demonstrable history of devising and overseeing data-centred projects.Probability and Statistics.Prescriptive Modelling.Advantageous –Cloud Platform (AWS).ATTRIBUTES:Ability to relay insights in layman's terms, such that these can be used to inform business decisions.Outstanding supervision and mentorship abilities and experience.Capacity to foster a healthy, stimulating work environment that frequently harnesses teamwork.Compliance with prevailing ethical standards.While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.COMMENTS:When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to [Email Address Removed] and mention the reference numbers of the jobs. We have a list of jobs on [URL Removed] Datafin IT Recruitment - Cape Town Jobs.
Desired Skills: 

Senior
Data
 Scientist

",R Undisclosed,Permanent Senior position,"Brackenfell, Western Cape",Posted 30 Jan 2022,Expires in 9 days,Job 2444395 - Ref 21570
18,LEAD Data Scientist,"Type: Contract (12 Months Initial Agreement - with option to renew every 12 Months)Level: SeniorLocation: Offices are based in Centurion, but position is/can be remoteSalary: R75 000 - R91 666 GROSS per month | R900 000 - R1, 100 000 GROSS Per Annum includes 15 days holiday, Sick leaveIndustry: Investments  MINIMUM REQUIREMENTSQualifications:  BSC Computer Science Degree or relevant to Data EngineeringCertifications:  Centurion (Advantageous)Amazon Web Services (AWS) Certified Data Analytics - Specialty.Cloudera Certified Professional (CCP): Data Engineer.Experience& Skills:  Experience leading and management of a Data Science TeamGood programming skills in both Python and SQL.An ability to engineer cloud-first solutions in the Amazon Web Services cloud, with specific emphasis on services related to the hosting of analytical solutions.A relevant background and practical experience in machine learning and advanced analytics, beyond tutorials and trivial problems.An understanding of the software development process, with proficiency in Git for version control and build & deployment pipelines in GitLab.An ability to create reports and dashboards to communicate data & analysis results, using a variety of technologies, such as Microsoft Power BI.Duties  An ability to LEAD and manage the data science team.Develop the data analytics strategy:Consider industry & technology trends as applicable.Continuously refine the data analytics strategy.Engage with stakeholders.Implement the data analytics strategy:Collaborate with data engineers on data ingestion & processing for the purpose of analytics.Explore analytical opportunities, and thereafter build, deploy, and maintain these solutions.Develop analytical reports and dashboards for consumption.Lead a team on a technical front in support hereof.JOB OVERVIEW/ROLE PURPOSE  Will be responsible for the development and hands-on implementation of the data analytics strategy. This includes data preparation & exploration, building machine learning models, deploying the solutions, and maintaining them thereafter.The work does not only entail ad hoc analysis, but also requires the person to build and deploy models into a production environment alongside existing systems. Additionally, publishing and communicating analyses as reports or dashboards will also be expected.Stakeholder engagement is important. This person will typically lead a team of diverse individuals in support of the data analytics strategy.
Desired Skills: 

Python
SQL
AWS
Microsoft PowerBI
Data Analytics Strategy Implementation
Data Analytics Strategy Development
Git
Gitlab
Management
Strategy
Strategies
Data Reporting
Data Strategy
Data Analytics
Data Engineering
GIT
MS PowerBI

Desired Work Experience: 

5 to 10 years

About The Employer: 
Investments
","R75,000 - R91,700 per month",Contract Management position,"Centurion, Gauteng",Posted 26 Jan 2022,Expires in 29 days,Job 2426359 - Ref ASMI: 002
19,Senior Data Scientist - Cape Town - up to R900k per annum at e-Merge IT Recruitment,"One of Africa's largest and most innovative Retailers leading the way in the industry has an opportunity open for a Senior Data Scientist to join their dynamic team.  The position requires a senior Data Scientist that will oversee the activities of junior Data Scientists, will provide advanced expertise on statistical and mathematical concepts, and applies and inspires the adoption of advanced data science and analytics across the business.  APPLY NOW!!!!  Requirements:  Degree in Computer Science5 - 6 years' commercial experienceRPythonSQLAWSResponsibilities:  Formulating, suggesting, and managing data-driven projects which are geared at furthering the business's interestsCollating and cleaning data from various entities for later use by Junior Data ScientistsDelegating tasks to Junior Data Scientists in order to realize the successful completion of projectsMonitoring the performance of Junior Data Scientists and providing them with practical guidance, as neededSelecting and employing advanced statistical procedures to obtain actionable insightsCross-validating models to ensure their generalizabilityProducing and disseminating non-technical reports that detail the successes and limitations of each projectSuggesting ways in which insights obtained might be used to inform business strategiesStaying informed about developments in Data Science and adjacent fields to ensure that outputs are always relevantReference Number for this position is NN53996 which is a permanent position based in Cape Town offering a cost to company salary of up to R900k per annum negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

AWS
R
Python
SQL

Desired Qualification Level: 

Degree

","R75,000 per month",Permanent Senior position,"Cape Town CBD, Western Cape",Posted 28 Jan 2022,Expires in 13 days,Job 2443846 - Ref NN53996
